"scenario","year","trials","biomass","species"
"RCP 4.5",2050,"./mc_output_trial0007",205.925,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0007",197.6152,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0007",843.0556,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0007",858.6702,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0007",818.4907,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0007",840.5479,"Other algal turf"
"Status quo",2050,"./mc_output_trial0008",0.0393127,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0008",0.02490033,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0008",0.03574674,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0008",0.02113674,"Sea birds"
"Status quo",2050,"./mc_output_trial0008",0.0804264,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0008",0.05897877,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0008",0.06741266,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0008",0.06089306,"Turtles"
"Status quo",2050,"./mc_output_trial0008",0.2402955,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0008",0.2703978,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0008",0.1713255,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0008",0.08000841,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0008",5.320818,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0008",2.832389,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0008",2.63384,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0008",0.9003976,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0008",15.73277,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0008",20.32474,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0008",13.27507,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0008",17.31219,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0008",28.20544,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0008",31.98203,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0008",20.66133,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0008",24.35894,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0008",0.6506795,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0008",0.6351046,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0008",0.5327564,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0008",0.4704913,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0008",0.2257128,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0008",0.2575245,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0008",0.2789212,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0008",0.307959,"Zooplankton"
"Status quo",2050,"./mc_output_trial0008",0.114859,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0008",0.1085148,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0008",0.1134801,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0008",0.1023375,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0008",203.4669,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0008",210.5522,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0008",203.6186,"Digenea simplex"
