"year.group","scenario","tbmean","tbmin","tbmax","trophic_group"
2068,"RCP 8.5",1.657966163,0.9335074695,3.076369415,"Reef sharks"
2068,"Status quo",2.9655770256,2.36425394,4.17381059,"Reef sharks"
2069,"RCP 2.6",2.9665413944,2.12802664,4.20355873,"Reef sharks"
2069,"RCP 4.5",2.4269755424,1.65043177,3.92395139,"Reef sharks"
2069,"RCP 8.5",1.61477865048,0.886023943,3.0298097,"Reef sharks"
2069,"Status quo",2.9655783432,2.36425529,4.173810955,"Reef sharks"
2070,"RCP 2.6",2.9686979488,2.129354435,4.20403399,"Reef sharks"
2070,"RCP 4.5",2.4109616336,1.63691056,3.903922405,"Reef sharks"
2070,"RCP 8.5",1.57779349808,0.8470680435,2.99085285,"Reef sharks"
2070,"Status quo",2.9655792244,2.36425529,4.17381072,"Reef sharks"
2071,"RCP 2.6",2.9694063028,2.12914928,4.20356164,"Reef sharks"
2071,"RCP 4.5",2.3896071688,1.6144717,3.880594365,"Reef sharks"
2071,"RCP 8.5",1.5327196844,0.8053067125,2.94209755,"Reef sharks"
2071,"Status quo",2.9655797308,2.36425484,4.17381034,"Reef sharks"
2072,"RCP 2.6",2.9715174336,2.130268065,4.20458891,"Reef sharks"
2072,"RCP 4.5",2.3736051584,1.59492024,3.862759525,"Reef sharks"
2072,"RCP 8.5",1.46864197688,0.743413872,2.875674495,"Reef sharks"
2072,"Status quo",2.9655799756,2.36425349,4.173809805,"Reef sharks"
2073,"RCP 2.6",2.9756386436,2.133505755,4.20773995,"Reef sharks"
2073,"RCP 4.5",2.3619755196,1.583575475,3.848263625,"Reef sharks"
2073,"RCP 8.5",1.39825145444,0.6731461905,2.802438355,"Reef sharks"
2073,"Status quo",2.9655800752,2.36425349,4.17380927,"Reef sharks"
2074,"RCP 2.6",2.9785929328,2.135529095,4.2098951,"Reef sharks"
2074,"RCP 4.5",2.3453610504,1.56824499,3.82808883,"Reef sharks"
2074,"RCP 8.5",1.3430985698,0.6122413285,2.746765135,"Reef sharks"
2074,"Status quo",2.96558007,2.36425349,4.173808745,"Reef sharks"
2075,"RCP 2.6",2.9790021888,2.134932025,4.209871965,"Reef sharks"
2075,"RCP 4.5",2.3370458848,1.559963375,3.815860215,"Reef sharks"
2075,"RCP 8.5",1.299106108,0.560809606,2.70434278,"Reef sharks"
2075,"Status quo",2.9655800368,2.36425349,4.173808445,"Reef sharks"
2076,"RCP 2.6",2.9792405084,2.134227105,4.209751045,"Reef sharks"
2076,"RCP 4.5",2.3362159596,1.56308682,3.80888921,"Reef sharks"
2076,"RCP 8.5",1.24940703408,0.514328943,2.651862855,"Reef sharks"
2076,"Status quo",2.9655800288,2.36425349,4.17380809,"Reef sharks"
2077,"RCP 2.6",2.9811148504,2.13525776,4.211090075,"Reef sharks"
2077,"RCP 4.5",2.3316555264,1.563764795,3.7977459,"Reef sharks"
2077,"RCP 8.5",1.19029321808,0.4598098035,2.586810885,"Reef sharks"
2077,"Status quo",2.9655800572,2.36425349,4.173808035,"Reef sharks"
2078,"RCP 2.6",2.9828965552,2.136298445,4.212270045,"Reef sharks"
2078,"RCP 4.5",2.3149572032,1.55051242,3.77778964,"Reef sharks"
2078,"RCP 8.5",1.12803582748,0.4035878005,2.51625924,"Reef sharks"
2078,"Status quo",2.9655801384,2.36425349,4.173808035,"Reef sharks"
2079,"RCP 2.6",2.983769518,2.13650062,4.212612755,"Reef sharks"
2079,"RCP 4.5",2.2932298404,1.5262145,3.756329705,"Reef sharks"
2079,"RCP 8.5",1.072670953404,0.3566570035,2.45309929,"Reef sharks"
2079,"Status quo",2.965580272,2.36425349,4.173808035,"Reef sharks"
2080,"RCP 2.6",2.9857697096,2.13781248,4.21400095,"Reef sharks"
2080,"RCP 4.5",2.277427008,1.50579161,3.74190284,"Reef sharks"
2080,"RCP 8.5",1.02826924166,0.3173298935,2.4040999225,"Reef sharks"
2080,"Status quo",2.9655804388,2.36425349,4.173808035,"Reef sharks"
2081,"RCP 2.6",2.989517698,2.1409114,4.217002725,"Reef sharks"
2081,"RCP 4.5",2.2589634364,1.482836315,3.723414705,"Reef sharks"
2081,"RCP 8.5",0.987974012036,0.281990692,2.361516433,"Reef sharks"
2081,"Status quo",2.9655806296,2.36425349,4.173808035,"Reef sharks"
2082,"RCP 2.6",2.9926515056,2.143325195,4.21949155,"Reef sharks"
2082,"RCP 4.5",2.2410902516,1.46142186,3.705001745,"Reef sharks"
2082,"RCP 8.5",0.940225286912,0.2441895487,2.303484681,"Reef sharks"
2082,"Status quo",2.9655808244,2.36425349,4.173808035,"Reef sharks"
2083,"RCP 2.6",2.9932234236,2.14306145,4.21977479,"Reef sharks"
2083,"RCP 4.5",2.2297378148,1.44818115,3.692269085,"Reef sharks"
2083,"RCP 8.5",0.895337826668,0.20933097565,2.2489054695,"Reef sharks"
2083,"Status quo",2.965580982,2.36425349,4.173808035,"Reef sharks"
2084,"RCP 2.6",2.9943105496,2.143241465,4.22076343,"Reef sharks"
2084,"RCP 4.5",2.2259257748,1.446310625,3.685142025,"Reef sharks"
2084,"RCP 8.5",0.857734661608,0.1795177423,2.2095021805,"Reef sharks"
2084,"Status quo",2.9655811076,2.36425349,4.173808035,"Reef sharks"
2085,"RCP 2.6",2.9972148516,2.14549011,4.223475225,"Reef sharks"
2085,"RCP 4.5",2.2188574636,1.444803915,3.67342991,"Reef sharks"
2085,"RCP 8.5",0.82488129084,0.15413357735,2.166582653,"Reef sharks"
2085,"Status quo",2.9655812144,2.36425349,4.173808035,"Reef sharks"
2086,"RCP 2.6",2.9996550264,2.147352165,4.225755855,"Reef sharks"
2086,"RCP 4.5",2.2097998568,1.44030327,3.66090918,"Reef sharks"
2086,"RCP 8.5",0.7864921626916,0.13034334805,2.107211872,"Reef sharks"
2086,"Status quo",2.9655812848,2.36425349,4.173808035,"Reef sharks"
2087,"RCP 2.6",2.9997443236,2.146708035,4.225883445,"Reef sharks"
2087,"RCP 4.5",2.2048718592,1.437757935,3.653446625,"Reef sharks"
2087,"RCP 8.5",0.7447622704336,0.1097289482,2.040153266,"Reef sharks"
2087,"Status quo",2.9655813276,2.36425349,4.173808035,"Reef sharks"
2088,"RCP 2.6",2.9986578204,2.14472918,4.224746505,"Reef sharks"
2088,"RCP 4.5",2.2036140968,1.439019915,3.649307395,"Reef sharks"
2088,"RCP 8.5",0.7060379196612,0.09227713385,1.979433885,"Reef sharks"
2088,"Status quo",2.9655813504,2.36425349,4.173808035,"Reef sharks"
2089,"RCP 2.6",2.9994439144,2.144371055,4.225141105,"Reef sharks"
2089,"RCP 4.5",2.1902366988,1.428243545,3.633992265,"Reef sharks"
2089,"RCP 8.5",0.671370632056,0.07730049681,1.9306995805,"Reef sharks"
2089,"Status quo",2.965581348,2.36425349,4.173808035,"Reef sharks"
2090,"RCP 2.6",3.0004891792,2.14446827,4.22560099,"Reef sharks"
2090,"RCP 4.5",2.166236966,1.40126658,3.61123598,"Reef sharks"
2090,"RCP 8.5",0.6368648314844,0.0635082791,1.8760072825,"Reef sharks"
2090,"Status quo",2.9655813408,2.36425349,4.173808035,"Reef sharks"
2091,"RCP 2.6",3.0004022888,2.143684255,4.22506867,"Reef sharks"
2091,"RCP 4.5",2.1577078504,1.385327915,3.60504673,"Reef sharks"
