"year.group","mean","percent_05","percent_95","scenario","species"
2070,0.021155973396,0.0135364675,0.030056088,"RCP 8.5","X1"
2071,0.020592132844,0.0132015225,0.0293908225,"RCP 8.5","X1"
2072,0.019133532748,0.0122369405,0.0278272375,"RCP 8.5","X1"
2073,0.017603517076,0.011061099,0.026462055,"RCP 8.5","X1"
2074,0.017096595952,0.010506613,0.026451879,"RCP 8.5","X1"
2075,0.0171046515,0.0104392385,0.026575408,"RCP 8.5","X1"
2076,0.01645598068,0.0099972049,0.0258858735,"RCP 8.5","X1"
2077,0.015209400596,0.00893990225,0.0246867025,"RCP 8.5","X1"
2078,0.01392569846,0.0075567958,0.023629582,"RCP 8.5","X1"
2079,0.013171095056,0.00646310475,0.023238885,"RCP 8.5","X1"
2080,0.01295022844,0.00586967855,0.023438841,"RCP 8.5","X1"
2081,0.012764512256,0.0052947996,0.0233834435,"RCP 8.5","X1"
2082,0.011797570624,0.00462381915,0.0219500445,"RCP 8.5","X1"
2083,0.010956046168,0.0038224101,0.0213064535,"RCP 8.5","X1"
2084,0.010594558216,0.0032615523,0.021449029,"RCP 8.5","X1"
2085,0.0104984015836,0.00269554125,0.0215287135,"RCP 8.5","X1"
2086,0.0098782010324,0.00203649735,0.020462953,"RCP 8.5","X1"
2087,0.0089285041236,0.0013864718,0.0190998665,"RCP 8.5","X1"
2088,0.00821535117284,0.000901360285,0.0182752945,"RCP 8.5","X1"
2089,0.0077541174906,0.00048527129,0.017878494,"RCP 8.5","X1"
2090,0.007221274250332,0.00022266757,0.017222071,"RCP 8.5","X1"
2091,0.0064165807045496,8.3544269e-05,0.016059229,"RCP 8.5","X1"
2092,0.0056281972575882,2.31999115e-05,0.014957986,"RCP 8.5","X1"
2093,0.00506893688039219,4.80880855e-06,0.014509662,"RCP 8.5","X1"
2094,0.00496306044633827,8.69447025e-07,0.0149990205,"RCP 8.5","X1"
2095,0.0051010936784751,1.23086375e-07,0.015598702,"RCP 8.5","X1"
2096,0.004848381157071,1.3389394e-08,0.014834298,"RCP 8.5","X1"
2097,0.00426866855107394,1.0714957e-09,0.0136573765,"RCP 8.5","X1"
2098,0.00348061576724658,5.54161895e-11,0.0118381765,"RCP 8.5","X1"
2099,0.00307179640188863,1.12687938e-12,0.0113040885,"RCP 8.5","X1"
2100,0.00296668183076937,1.13648925e-14,0.011770118,"RCP 8.5","X1"
2012,0.09949044944,0.0843839835,0.114791645,"Status quo","X18"
2013,0.09828265124,0.0834621925,0.11350876,"Status quo","X18"
2014,0.09598505872,0.081710189,0.1107417,"Status quo","X18"
2015,0.09354093544,0.079784744,0.107962955,"Status quo","X18"
2016,0.09151588852,0.078097072,0.105630325,"Status quo","X18"
